"Step","worthy-dust-17 - train/train_epoch_loss","worthy-dust-17 - train/train_epoch_loss__MIN","worthy-dust-17 - train/train_epoch_loss__MAX"
"0","0.04260508343577385","0.04260508343577385","0.04260508343577385"
"1","0.04260508343577385","0.04260508343577385","0.04260508343577385"
"6","0.010060817003250122","0.010060817003250122","0.010060817003250122"
"7","0.010060817003250122","0.010060817003250122","0.010060817003250122"
"12","0.006179348099976778","0.006179348099976778","0.006179348099976778"
"13","0.006179348099976778","0.006179348099976778","0.006179348099976778"
"18","0.004740752745419741","0.004740752745419741","0.004740752745419741"
"19","0.004740752745419741","0.004740752745419741","0.004740752745419741"
"24","0.003940171096473932","0.003940171096473932","0.003940171096473932"
"25","0.003940171096473932","0.003940171096473932","0.003940171096473932"
"30","0.003480402287095785","0.003480402287095785","0.003480402287095785"
"31","0.003480402287095785","0.003480402287095785","0.003480402287095785"
"36","0.003148254007101059","0.003148254007101059","0.003148254007101059"
"37","0.003148254007101059","0.003148254007101059","0.003148254007101059"
"42","0.0029256055131554604","0.0029256055131554604","0.0029256055131554604"
"43","0.0029256055131554604","0.0029256055131554604","0.0029256055131554604"
"48","0.002838500775396824","0.002838500775396824","0.002838500775396824"
"49","0.002838500775396824","0.002838500775396824","0.002838500775396824"
"54","0.0028044634964317083","0.0028044634964317083","0.0028044634964317083"
"55","0.0028044634964317083","0.0028044634964317083","0.0028044634964317083"
